ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GNQ,Equatorial Guinea,0.273183853,0.273234178,0.272188362,0.271205341,0.271307224,0.27153549,0.270620506,0.269938315,0.279649207,0.27442121,0.291092201,0.248827716,0.256795,0.25697611,0.255859887,0.252877834,0.250443528,0.250790041,0.251907089,0.246204292,0.244397364,0.250626769,0.241638595,0.24803052,0.250750018,0.252783185,0.251856093,0.254640432
ERI,Eritrea,0.307866048,0.307573624,0.30778195,0.307978496,0.308268322,0.308168969,0.308724816,0.308486196,0.292175874,0.288017848,0.253415229,0.220651432,0.216083258,0.219000341,0.215293914,0.207702877,0.206650568,0.201937443,0.199733066,0.20495239,0.194979956,0.212820986,0.213718582,0.215257927,0.214443149,0.218316155,0.218487586,0.214651743
EST,Estonia,0.455688324,0.46134063,0.464549952,0.468520396,0.473492454,0.483825612,0.490221328,0.496164785,0.500313505,0.508602531,0.52044949,0.585834665,0.593990611,0.608692211,0.611902014,0.619239482,0.6139861,0.603062228,0.614819995,0.642919881,0.638872316,0.61799865,0.61944153,0.616895728,0.620749643,0.616185643,0.619704279,0.620680416
ETH,Ethiopia,0.280684542,0.283808624,0.290991123,0.298129076,0.297984931,0.294915616,0.295882569,0.296801301,0.296856542,0.300669672,0.286105927,0.284032872,0.286009365,0.284443286,0.281247932,0.284389933,0.286747035,0.281795462,0.281962258,0.287302141,0.28598571,0.302504815,0.296969346,0.313068531,0.313129311,0.302186596,0.293963607,0.29585137
FJI,Fiji,0.394255264,0.394383926,0.394957439,0.395677889,0.383731053,0.372097408,0.379880647,0.388489052,0.378078837,0.374563917,0.379622476,0.415521011,0.414147749,0.411481019,0.392178101,0.399922462,0.413117389,0.412454673,0.412302029,0.441554586,0.445482222,0.457483362,0.468326013,0.478282552,0.483013231,0.474411478,0.476086539,0.475091666
FIN,Finland,0.671413572,0.672331082,0.676433234,0.682879035,0.688704798,0.693184084,0.69646374,0.701327211,0.704398786,0.705846097,0.717714961,0.753532139,0.754594894,0.758051523,0.754423848,0.764663017,0.76487163,0.77342749,0.778628717,0.78918404,0.771217894,0.751115863,0.751799641,0.747922261,0.745348479,0.750874127,0.755013455,0.753812328
FRA,France,0.584117349,0.586659796,0.584885835,0.582903969,0.586146063,0.588792347,0.590493081,0.589842097,0.590305454,0.596793337,0.599056762,0.617894628,0.636290991,0.63985655,0.64426878,0.659176282,0.656624245,0.655980387,0.652757448,0.662370173,0.661781222,0.649316891,0.654301074,0.650758578,0.665197069,0.64718762,0.655434015,0.654164662
GAB,Gabon,0.366819443,0.366876614,0.373345941,0.37979757,0.385251721,0.392374939,0.390216695,0.388843566,0.384830396,0.376004387,0.409038812,0.31248714,0.310754783,0.304771047,0.30266654,0.298331885,0.298117237,0.302093384,0.299430188,0.307686713,0.300719795,0.303526606,0.299107233,0.297116845,0.294323526,0.298696455,0.300146856,0.298934087
GMB,Gambia,0.368301146,0.368253394,0.370220451,0.372181389,0.373400524,0.374642016,0.378953635,0.383231202,0.385503948,0.367277025,0.382921111,0.315815438,0.320809581,0.317565246,0.319662273,0.306843405,0.309809858,0.307081611,0.305286267,0.306898975,0.306937735,0.295398033,0.308991707,0.308176303,0.312368726,0.323318186,0.319131199,0.32344641
GEO,Georgia,0.321587803,0.321307547,0.322911688,0.3317229,0.339825137,0.347709131,0.346354537,0.334449609,0.351095765,0.370979808,0.376537356,0.369366684,0.430528462,0.438712678,0.449389164,0.471234359,0.47813241,0.498053414,0.517909149,0.55305568,0.548859761,0.552171261,0.557640506,0.564757257,0.5669779,0.565783378,0.571676791,0.572943423
DEU,Germany,0.619961376,0.621718686,0.621902853,0.622392599,0.627499431,0.634078813,0.634539279,0.637789806,0.631898245,0.634011059,0.641633082,0.684255183,0.690619814,0.687331201,0.681940087,0.698075774,0.696015574,0.697306127,0.705007471,0.725371499,0.713779608,0.697405347,0.694829452,0.694861324,0.692053053,0.687224296,0.691629348,0.688689763
