ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CYP,Cyprus,17084.48828,17313.61523,17777.41211,18758.65039,19662.75586,21291.26172,22868.80469,24013.32227,24280.91016,25945.20117,27762.90234,30015.07813,32888.51172,34829.33594,33883.25,33504.37891,33404.21875,31922.30664,30450.125,30168.91602,31920.00977,35877.10156,38411.41406,40673.72656,44685.13672,42796.03516,48466.84375,53776.30859
CZE,Czech Republic,13850.1491,14684.60392,14821.92101,14977.61712,15396.31178,16237.54255,17626.2634,18252.57277,19539.15101,20932.67334,22095.38785,23923.55451,26288.34526,27974.48713,27760.69496,27877.14374,29001.36804,29254.73127,30818.10816,32502.47535,33899.28657,36097.70526,38824.88792,41143.82705,44859.80056,43922.53098,48418.11579,51701.94914
DNK,Denmark,22680.97684,23733.06859,24923.79606,25813.87733,26653.8239,28661.76416,29446.01436,30640.34562,30822.09288,32939.63047,34150.15946,37334.1604,39015.05934,41278.32683,40330.22271,42995.61757,44403.38484,44803.96824,46726.85414,47901.44736,49045.33919,51976.00571,55356.68078,57482.9624,60787.46336,62529.25106,69878.93481,77953.67866
DJI,Djibouti,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,3809.8608,4022.347168,4323.515881,4493.895141,4742.388482,5153.716539,5471.963294,5676.305934,6032.277956,6606.38768
DMA,Dominica,5370.856286,5641.81203,5871.753508,6174.629751,6306.133376,6633.891104,6798.132023,6697.823846,7244.879028,7651.904611,7932.019022,8549.150707,9334.128249,10190.42792,10132.62253,10329.55208,10521.08315,10233.8517,10447.19766,11147.70328,11277.23008,12092.76337,11435.69495,12809.71151,14451.53792,12743.86389,14472.28586,16283.16403
DOM,Dominican Republic,4900.726484,5194.665805,5656.507735,6006.828278,6354.522056,6698.346898,6913.811248,7231.704067,7173.491962,7452.720836,8299.451614,9220.173495,10044.55488,10432.70056,10458.95548,11319.09197,11760.64189,11846.43857,12484.10743,13541.93457,14886.77901,16351.83448,17075.24595,18141.33826,19743.40045,19085.35362,21923.30194,24363.89337
ECU,Ecuador,5482.78668,5576.848531,5813.56739,5965.514681,5664.602464,5756.69708,6029.332444,6314.136006,6509.688428,7018.310411,7498.706855,7927.893128,8156.242994,8709.458521,8710.983806,9021.062225,9825.427469,10302.94651,11356.0594,11892.81435,10924.9822,10924.87977,11837.67807,12211.14652,12540.32512,11498.92887,13452.00877,15117.27063
EGY,Egypt,4332.763589,4533.404147,4761.129314,4975.225612,5239.165492,5582.275671,5789.473905,5895.395887,6075.590247,6363.660637,6722.027775,7260.831843,7831.772557,8388.041404,8663.086867,9034.636998,9178.853589,10560.14161,10731.53889,10464.19241,11112.37362,10864.53819,11333.11843,12559.96517,13608.49971,15494.07882,15820.67138,17769.22374
SLV,El Salvador,3816.957539,3885.294558,4044.573021,4168.22658,4290.341441,4411.225859,4527.726126,4652.401392,4806.06911,4971.938734,5263.414686,5664.215422,5915.656957,6135.207953,6019.967573,6201.126962,6542.94498,6656.875002,7038.923207,7447.433763,7873.397416,8388.369047,8889.222788,9120.85803,9666.802079,9306.030302,10709.75958,11743.43733
GNQ,Equatorial Guinea,1118.867101,1826.802274,4468.851517,5378.831214,6590.192168,7618.659663,12120.81076,14025.41959,15564.20305,21077.12118,24252.66551,25716.68454,29057.25219,33270.18496,32341.59847,28428.58667,29556.1131,32522.40879,30204.24196,29373.0738,21025.31484,17949.83316,19854.22994,19814.63672,17692.29978,14709.02376,18100.91393,19610.17654
ERI,Eritrea,1285.053197,1362.262191,1477.411402,1500.079581,1499.737595,1462.921342,1581.205043,1598.524338,1523.426635,1524.065102,1573.263409,1579.093572,1619.114393,1449.425795,1476.529632,1496.290855,1628.750509,1628.750509,1628.750509,1628.750509,1628.750509,1628.750509,1628.750509,1628.750509,1628.750509,1628.750509,1628.750509,1628.750509
EST,Estonia,6475.401362,6889.298809,7977.916551,8450.519375,8412.066776,9422.497065,10317.30719,11663.2715,13133.28366,14536.75968,16634.89274,19345.20327,22200.23228,22802.34218,20477.25845,21615.74005,24557.23615,25996.04678,27464.51868,28945.46533,29175.92593,31312.7523,33821.93291,36410.12209,39843.64023,40045.38469,44651.99922,47941.67913
